D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_246.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_246.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_246.jpg, 0, 0, 0, 7.829688E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_348.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_348.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_348.jpg, 0, 0, 0, 8.174352E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_452.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_452.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_452.jpg, 0, 0, 0, 7.8181E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_557.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_557.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_557.jpg, 0, 0, 0, 8.326434E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_662.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_662.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_662.jpg, 0, 0, 0, 7.811103E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_762.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_762.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_762.jpg, 0, 0, 0, 8.140731E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_868.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_868.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_868.jpg, 0, 0, 0, 7.961145E-05
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_29_968.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_29_968.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_29_968.jpg, 0, 0.3009969, 0, 0.1956909
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_30_069.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_30_069.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_30_069.jpg, 0, 0.6035584, 0, 0.7404311
D:\SELF_DRIVING_CAR\DATA\IMG\center_2024_03_10_20_37_30_171.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\left_2024_03_10_20_37_30_171.jpg, D:\SELF_DRIVING_CAR\DATA\IMG\right_2024_03_10_20_37_30_171.jpg, 0, 0.9075018, 0, 1.661074
